"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","OtherVotes","votes","LiberalShare","ConservativeShare","NDPShare","BlocShare","GreenShare","IndependentShare","OtherShare"
10001,"Avalon","NL","2015","Liberal",23528,4670,6075,0,228,0,0,7585,42086,55.9,11.1,14.4,0,0.5,0,18
10002,"Bonavista--Burin--Trinity","NL","2015","Liberal",28704,3534,2557,0,297,0,0,0,35092,81.8,10.1,7.3,0,0.8,0,0
10003,"Coast of Bays--Central--Notre Dame","NL","2015","Liberal",26523,6479,2175,0,271,0,0,0,35448,74.8,18.3,6.1,0,0.8,0,0
10004,"Labrador","NL","2015","Liberal",8878,1716,1779,0,0,0,0,0,12373,71.8,13.9,14.4,0,0,0,0
10005,"Long Range Mountains","NL","2015","Liberal",30889,5085,4739,0,1111,0,0,0,41824,73.9,12.2,11.3,0,2.7,0,0
10006,"St. John's East","NL","2015","Liberal",20974,2938,20328,0,500,0,0,140,44880,46.7,6.5,45.3,0,1.1,0,0.3
10007,"St. John's South--Mount Pearl","NL","2015","Liberal",25922,2047,16467,0,365,0,0,0,44801,57.9,4.6,36.8,0,0.8,0,0
11001,"Cardigan","PEI","2015","Liberal",14621,3632,2503,0,1434,0,0,295,22485,65,16.2,11.1,0,6.4,0,1.3
11002,"Charlottetown","PEI","2015","Liberal",11910,3136,4897,0,1222,0,0,0,21165,56.3,14.8,23.1,0,5.8,0,0
11003,"Egmont","PEI","2015","Liberal",10521,6185,4097,0,559,0,0,0,21362,49.3,29,19.2,0,2.6,0,0
11004,"Malpeque","PEI","2015","Liberal",13950,3947,2509,0,2066,0,0,0,22472,62.1,17.6,11.2,0,9.2,0,0
12001,"Cape Breton--Canso","NS","2015","Liberal",32163,6246,3547,0,1281,0,0,0,43237,74.4,14.4,8.2,0,3,0,0
12002,"Central Nova","NS","2015","Liberal",25909,11418,4532,0,1834,0,570,0,44263,58.5,25.8,10.2,0,4.1,1.3,0
12003,"Cumberland--Colchester","NS","2015","Liberal",29527,12257,2647,0,1650,0,251,0,46332,63.7,26.5,5.7,0,3.6,0.5,0
12004,"Dartmouth--Cole Harbour","NS","2015","Liberal",30407,7331,12757,0,1775,0,0,0,52270,58.2,14,24.4,0,3.4,0,0
12005,"Halifax","NS","2015","Liberal",27431,4564,19162,0,1745,0,0,130,53032,51.7,8.6,36.1,0,3.3,0,0.2
12006,"Halifax West","NS","2015","Liberal",34377,7837,5894,0,1971,0,0,0,50079,68.6,15.6,11.8,0,3.9,0,0
