"district.number","district.name","province","year","WinningParty","LiberalVotes","ConservativeVotes","NDPVotes","BlocVotes","GreenVotes","PeoplesVotes","IndependentVotes","votes"
10001,"Avalon","NL","2015","Liberal",23528,4670,6075,0,228,0,0,42086
10002,"Bonavista--Burin--Trinity","NL","2015","Liberal",28704,3534,2557,0,297,0,0,35092
10003,"Coast of Bays--Central--Notre Dame","NL","2015","Liberal",26523,6479,2175,0,271,0,0,35448
10004,"Labrador","NL","2015","Liberal",8878,1716,1779,0,0,0,0,12373
10005,"Long Range Mountains","NL","2015","Liberal",30889,5085,4739,0,1111,0,0,41824
10006,"St. John's East","NL","2015","Liberal",20974,2938,20328,0,500,0,0,44880
10007,"St. John's South--Mount Pearl","NL","2015","Liberal",25922,2047,16467,0,365,0,0,44801
11001,"Cardigan","PEI","2015","Liberal",14621,3632,2503,0,1434,0,0,22485
11002,"Charlottetown","PEI","2015","Liberal",11910,3136,4897,0,1222,0,0,21165
11003,"Egmont","PEI","2015","Liberal",10521,6185,4097,0,559,0,0,21362
11004,"Malpeque","PEI","2015","Liberal",13950,3947,2509,0,2066,0,0,22472
12001,"Cape Breton--Canso","NS","2015","Liberal",32163,6246,3547,0,1281,0,0,43237
12002,"Central Nova","NS","2015","Liberal",25909,11418,4532,0,1834,0,570,44263
12003,"Cumberland--Colchester","NS","2015","Liberal",29527,12257,2647,0,1650,0,251,46332
12004,"Dartmouth--Cole Harbour","NS","2015","Liberal",30407,7331,12757,0,1775,0,0,52270
12005,"Halifax","NS","2015","Liberal",27431,4564,19162,0,1745,0,0,53032
12006,"Halifax West","NS","2015","Liberal",34377,7837,5894,0,1971,0,0,50079
12007,"Kings--Hants","NS","2015","Liberal",33026,8677,2998,0,1569,0,232,46686
12008,"Sackville--Preston--Chezzetcook","NS","2015","Liberal",23161,7186,16613,0,1341,0,0,48301
12009,"South Shore--St. Margarets","NS","2015","Liberal",30045,11905,8883,0,1534,0,257,52775
12010,"Sydney--Victoria","NS","2015","Liberal",29995,4360,5351,0,1026,0,0,40974
12011,"West Nova","NS","2015","Liberal",28775,11916,3084,0,1904,0,0,45679
13001,"Acadie--Bathurst","NB","2015","Liberal",25845,3852,20079,0,1187,0,0,50963
13002,"Beauséjour","NB","2015","Liberal",36534,6017,8009,0,2376,0,0,52936
13003,"Fredericton","NB","2015","Liberal",23016,13280,4622,0,5804,0,0,46722
13004,"Fundy Royal","NB","2015","Liberal",19136,17361,8204,0,1823,0,296,46820
13005,"Madawaska--Restigouche","NB","2015","Liberal",20778,6151,9670,0,707,0,0,37306
13006,"Miramichi--Grand Lake","NB","2015","Liberal",17202,12476,5588,0,1098,0,0,36364
